Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Свідоцтво про державну реєстрацію друкованого засобу масової інформації Серія ІФ №580-247Р,"м. Івано-Франківськ, вул. Шевченка, буд. 47",2015-08-28,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка "Солідарність",Івано-Франківська обласна організація,39655372,Івано-Франківська область,3,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації,"м. Львів, вул. Лазаренка, буд. 1А, кв. 72",2015-08-26,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка "Солідарність",Львівська обласна організація,39702118,Львівська область,3,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Партійна газета ""Солідарність.Дніпропетровщина""","м. Дніпро, вул. Січеславська Набережна, буд. 39, прим. 193",2015-08-28,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка "Солідарність",Дніпропетровська обласна організація,39795490,Дніпропетровська область,3,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Солідарність. Київ""","м. Київ, вул. Лаврська, буд. 16",2015-09-02,850,обтяження відсутнє,,,,"701,31",Блок Петра Порошенка "Солідарність",Київська міська організація,39154804,Київ,3,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Свідоцтво про державну реєстрацію друкованого засобу масової інформації (Серія К1 №1620) Партійна газета ""Солідарність. КИЇВЩИНА""","м. Київ, пров. Бехтеревський, буд. 4А",2015-08-17,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка "Солідарність",Київська обласна організація,39495516,Київська область,3,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Партійна газета ""Солідарність. Кіровоградщина""",м. Кропивницький,2015-08-25,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка "Солідарність",Кіровоградська обласна організація,39697790,Кіровоградська область,3,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність. Луганщина""","Луганська область, м. Сєвєродонецьк, вул. Курчатова, буд. 23",2015-08-27,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка "Солідарність",Луганська обласна організація,39825996,Луганська область,3,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Партіїна газета ""Солідарність. Миколаївщина""",м. Миколаїв,2015-09-10,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка "Солідарність",Миколаївська обласна організація,26029188,Миколаївська область,3,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Свідоцтво про державну реєстрацію друкованого засобу масової інформації Партійної газети ""Солідарність. Полтавщина""","м. Полтава, вул. Котляревського, буд. 22Б, оф. 106-110",2015-08-31,480,обтяження відсутнє,,,,396,Блок Петра Порошенка "Солідарність",Полтавська обласна організація,26090791,Полтавська область,3,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації,"м. Рівне, вул. Данила Галицького, буд. 19, оф. 106",2015-08-26,204,обтяження відсутнє,,,,"168,3",Блок Петра Порошенка "Солідарність",Рівненська обласна організація,39757256,Рівненська область,3,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Солідарність. Сумщина""",м. Суми,2015-08-13,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка "Солідарність",Сумська обласна організація,39587135,Сумська область,3,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Партійна газета ""Солідарність"" (Свідоцтво серії КВ № 21367-1116","м. Тернопіль, вул. Кульчицької, буд. 2А, оф. 1-50",2016-12-31,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка "Солідарність",Тернопільська обласна організація,39614425,Тернопільська область,3,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність Харківщина""","м. Харків, вул. Сумська, буд. 39, каб. 220",2016-08-19,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка "Солідарність",Харківська обласна організація,39740347,Харківська область,3,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність Херсонщині""","м. Херсон, вул. 14 Східна, буд. 3",2015-09-07,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка "Солідарність",Херсонська обласна організація,39438699,Херсонська область,3,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність. Хмельниччина""",м. Хмельницький,2015-09-10,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка "Солідарність",Хмельницька обласна організація,39545645,Хмельницька область,3,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Партійна газета ""Солідарність. Черкащина""","м. Черкаси, вул. Сумгаїтська, буд. 8/2",2015-09-10,408,обтяження відсутнє,,,,"295,8",Блок Петра Порошенка "Солідарність",Черкаська обласна організація,39602603,Черкаська область,3,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Солідарність. Буковина""","м. Чернівці, вул. Комарова, буд. 13-А",2015-08-31,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка "Солідарність",Чернівецька обласна організація,39692702,Чернівецька область,3,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Партійна газета ""Солідарність. Чернігівщина","м. Чернігів, вул. Магістратська, буд. 4, кв. 20",2015-08-20,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка "Солідарність",Чернігівська обласна організація,39742680,Чернігівська область,3,2018,,,,,,,,,,,,,,,,,,
"Комерційні позначення (товарні знаки, торгові марки)",Знак для товарів і послуг № 201095,"м. Київ, вул. Електриків, буд. 29А",2016-12-31,5835,обтяження відсутнє,,,,"4667,88",Блок Петра Порошенка "Солідарність",Центральний офіс,21715714,Україна,4,2018,,,,,,,,,,,,,,,,,,"4 667,88"
"Комерційні позначення (товарні знаки, торгові марки)",Знак для товарів і послуг № 201096,"м. Київ, вул. Електриків, буд. 29А",2016-12-31,40335,обтяження відсутнє,,,,"32267,88",Блок Петра Порошенка "Солідарність",Центральний офіс,21715714,Україна,4,2018,,,,,,,,,,,,,,,,,,"32 267,88"
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Партійна газета ""Солідарність"" (Свідоцтво серії КВ № 21367-1116","м. Київ, вул. Електриків, буд. 29А",2015-06-25,850,обтяження відсутнє,,,,"680,08",Блок Петра Порошенка "Солідарність",Центральний офіс,21715714,Україна,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмне забезпечення Microsoft Office Home,"м. Київ, вул. Електриків, буд. 29А",2016-12-31,1708500,обтяження відсутнє,,,,1366800,Блок Петра Порошенка "Солідарність",Центральний офіс,21715714,Україна,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмне забезпечення Microsoft Windows 10,"м. Київ, вул. Електриків, буд. 29А",2016-12-31,1167000,обтяження відсутнє,,,,933600,Блок Петра Порошенка "Солідарність",Центральний офіс,21715714,Україна,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програма 1С:8.2,"м. Київ, вул. Електриків, буд. 29А",2016-12-31,4680,обтяження відсутнє,,,,3744,Блок Петра Порошенка "Солідарність",Центральний офіс,21715714,Україна,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""СОЛІДАРНІСТЬ ВІННИЧИНА""",м. Вінниця,2015-09-09,408,обтяження відсутнє,,,,"326,4",Блок Петра Порошенка "Солідарність",Вінницька обласна організація,39508645,Вінницька область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Партійна газета ""Солідарність. Волинь"" ( Свідоцтво серії ВЛ № 492-225Р від 2015-08-11 року )","м. Луцьк, вул. Рівненська, буд. 42",2015-08-11,408,обтяження відсутнє,,,,"326,4",Блок Петра Порошенка "Солідарність",Волинська обласна організація,39402400,Волинська область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","ПАРТІЙНА ГАЗЕТА ""СОЛІДАРНІСТЬ. ДОНЕТЧИНА"" (2017 р.)","Донецька область, м. Краматорськ, просп. Миру, буд. 9",2017-04-03,408,обтяження відсутнє,,,,340,Блок Петра Порошенка "Солідарність",Донецька обласна організація,39645186,Донецька область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Солідарність. Житомирщина""","м. Житомир, вул. І. Сльоти, буд. 32/98",2015-08-14,408,обтяження відсутнє,,,,"326,4",Блок Петра Порошенка "Солідарність",Житомирська обласна організація,39682762,Житомирська область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність. Закарпаття""","м. Ужгород, вул. Перемоги, буд. 1",2015-09-15,408,обтяження відсутнє,,,,"326,4",Блок Петра Порошенка "Солідарність",Закарпатська обласна організація,39950317,Закарпатська область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",право на видавництво друкованого засобу масової інформації (свідоцтво про державну реєстрацію друкованого засобу масової інформації серія 33 № 1191-466-Р від 2015-09-01 р.),"м. Запоріжжя, просп. Соборний, буд. 193, оф. 62",2015-09-01,,обтяження відсутнє,,,,,Блок Петра Порошенка "Солідарність",Запорізька обласна організація,39434317,Запорізька область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Свідоцтво про державну реєстрацію друкованого засобу масової інформації Серія ІФ №580-247Р,"м. Івано-Франківськ, вул. Шевченка, буд. 47",2015-08-28,408,обтяження відсутнє,,,,"326,4",Блок Петра Порошенка "Солідарність",Івано-Франківська обласна організація,39655372,Івано-Франківська область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації,"м. Львів, вул. Лазаренка, буд. 1А, кв. 72",2015-08-26,408,обтяження відсутнє,,,,"326,4",Блок Петра Порошенка "Солідарність",Львівська обласна організація,39702118,Львівська область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Партійна газета ""Солідарність.Дніпропетровщина""","м. Дніпро, вул. Січеславська Набережна, буд. 39, прим. 193",2015-08-28,408,обтяження відсутнє,,,,"326,4",Блок Петра Порошенка "Солідарність",Дніпропетровська обласна організація,39795490,Дніпропетровська область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Солідарність. Київ""","м. Київ, вул. Лаврська, буд. 16",2015-09-02,850,обтяження відсутнє,,,,"680,07",Блок Петра Порошенка "Солідарність",Київська міська організація,39154804,Київ,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Свідоцтво про державну реєстрацію друкованого засобу масової інформації (Серія К1 №1620) Партійна газета ""Солідарність. КИЇВЩИНА""","м. Київ, пров. Бехтеревський, буд. 4А",2015-08-17,408,обтяження відсутнє,,,,"326,4",Блок Петра Порошенка "Солідарність",Київська обласна організація,39495516,Київська область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Партійна газета ""Солідарність. Кіровоградщина""",м. Кропивницький,2015-08-25,408,обтяження відсутнє,,,,"326,4",Блок Петра Порошенка "Солідарність",Кіровоградська обласна організація,39697790,Кіровоградська область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність. Луганщина""","Луганська область, м. Сєвєродонецьк, вул. Курчатова, буд. 23",2015-08-27,408,обтяження відсутнє,,,,"326,4",Блок Петра Порошенка "Солідарність",Луганська обласна організація,39825996,Луганська область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Партіїна газета ""Солідарність. Миколаївщина""",м. Миколаїв,2015-09-10,408,обтяження відсутнє,,,,"326,4",Блок Петра Порошенка "Солідарність",Миколаївська обласна організація,26029188,Миколаївська область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Свідоцтво про державну реєстрацію друкованого засобу масової інформації Партійної газети ""Солідарність. Полтавщина""","м. Полтава, вул. Котляревського, буд. 22Б, оф. 106-110",2015-08-31,480,обтяження відсутнє,,,,384,Блок Петра Порошенка "Солідарність",Полтавська обласна організація,26090791,Полтавська область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації,"м. Рівне, вул. Данила Галицького, буд. 19, оф. 106",2015-08-26,204,обтяження відсутнє,,,,"163,2",Блок Петра Порошенка "Солідарність",Рівненська обласна організація,39757256,Рівненська область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Солідарність. Сумщина""",м. Суми,2015-08-13,408,обтяження відсутнє,,,,"326,4",Блок Петра Порошенка "Солідарність",Сумська обласна організація,39587135,Сумська область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Партійна газета ""Солідарність"" (Свідоцтво серії КВ № 21367-1116","м. Тернопіль, вул. Кульчицької, буд. 2А, оф. 1-50",2016-12-31,408,обтяження відсутнє,,,,"326,4",Блок Петра Порошенка "Солідарність",Тернопільська обласна організація,39614425,Тернопільська область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність Харківщина""","м. Харків, вул. Сумська, буд. 39, каб. 220",2016-08-19,408,обтяження відсутнє,,,,"326,4",Блок Петра Порошенка "Солідарність",Харківська обласна організація,39740347,Харківська область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність Херсонщині""","м. Херсон, вул. 14 Східна, буд. 3",2015-09-07,408,обтяження відсутнє,,,,"326,4",Блок Петра Порошенка "Солідарність",Херсонська обласна організація,39438699,Херсонська область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність. Хмельниччина""",м. Хмельницький,2015-09-10,408,обтяження відсутнє,,,,"326,4",Блок Петра Порошенка "Солідарність",Хмельницька обласна організація,39545645,Хмельницька область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Партійна газета ""Солідарність. Черкащина""","м. Черкаси, вул. Сумгаїтська, буд. 8/2",2015-09-10,408,обтяження відсутнє,,,,"326,4",Блок Петра Порошенка "Солідарність",Черкаська обласна організація,39602603,Черкаська область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Солідарність. Буковина""","м. Чернівці, вул. Комарова, буд. 13-А",2015-08-31,408,обтяження відсутнє,,,,"326,4",Блок Петра Порошенка "Солідарність",Чернівецька обласна організація,39692702,Чернівецька область,4,2018,,,,,,,,,,,,,,,,,,
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Партійна газета ""Солідарність. Чернігівщина","м. Чернігів, вул. Магістратська, буд. 4, кв. 20",2015-08-20,408,обтяження відсутнє,,,,"326,4",Блок Петра Порошенка "Солідарність",Чернігівська обласна організація,39742680,Чернігівська область,4,2018,,,,,,,,,,,,,,,,,,
