Вид фінансових зобовʼязань,Дата виникнення,Сума (вартість) зобовʼязання на момент виникнення,Дата припинення,Сума (вартість) зобовʼязання на момент припинення,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),"Сума (вартість) на кінець звітного періоду, грн",Тип особи,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний об'єкт,Квартал,Рік
Розрахунково-касового обслуговування,2020-01-03,118.39,2020-09-30 00:00:00,0,АБ «УКРГАЗБАНК»,23697280.0,"03087, м. Київ, вул. Єреванська, 1",118.39,юридична особа,Об’єднання «САМОПОМІЧ»,Київська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39922721,Київська область,4,2020
Грошова застава,2020-09-22,7430.0,2020-09-22 00:00:00,0,УДКСУ У КОСТОПІЛЬСЬКОМУ РАЙОНІ,37959370.0,"35000, Рівненська обл., Костопільській район, мисто Костопіль, ВУЛИЦЯ РІВНЕНСЬКА, будинок 68",7430.0,юридична особа,Об’єднання «САМОПОМІЧ»,Костопільська районна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39925596,Рівненська область,4,2020
Комісія банку,2020-09-22,170.0,2020-10-01 00:00:00,0,"АТ КБ ""Приватбанк""",14360570.0,"Україна, 01001, мисто Киів, ВУЛИЦЯ ГРУШЕВСЬКОГО, будинок 1Д",170.0,юридична особа,Об’єднання «САМОПОМІЧ»,Костопільська районна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39925596,Рівненська область,4,2020
Оренда приміщення,2018-01-01,43662.0,2020-12-31 00:00:00,43662,Приватне акціонерне товариство «Промбудприлад»,31588943.0,"Україна, м. Львів, вул. Сахарова, 42",0.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська міська організація Політичної партії «Об’єднання «САМОПОМІЧ»,39378876,Львівська область,4,2020
банери,2020-07-01,61783.99,2020-12-31 00:00:00,,ФОП Варчук Олег Миколайович,, м. Львів,61783.99,фізична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
рекламна конструкція,2020-07-01,16200.0,2020-12-31 00:00:00,,ФОП Романовський Артур Євгенійович,, м. Львів,16200.0,фізична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
"Виготовлення ролику ""Вуличні музики""",2020-07-01,1030103.0,2020-12-31 00:00:00,,ФОП Савиченко Ігор Олександрович,, м. Київ,1030103.0,фізична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
поповнення виборчого фонду,2020-09-25,7151840.0,2020-12-31 00:00:00,,Виборчий фонд Садового Андрія Івановича,,м. Львів,7151840.0,фізична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
газета,2020-07-01,81500.0,2020-12-31 00:00:00,,ФОП Луцишин-Кобилянська Марія Володимирівна,,"	
м. Тернопіль",81500.0,фізична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,38470.0,2020-12-31 00:00:00,,ЧЕРВОНОГРАДСЬКА РАЙОННА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ЛЬВІВСЬКОЇ ОБЛАСТІ,43756756.0,"80100, Львівська обл., місто Червоноград, пр.Шевченка Т., будинок 15",38470.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,2839.0,2020-12-31 00:00:00,,ПУСТОМИТІВСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43756342.0,"81100, Львівська обл., Пустомитівський р-н, місто Пустомити, вул.Грушевського Михайла, будинок 15",2839.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,2498.0,2020-12-31 00:00:00,,СЛАВСЬКА СЕЛИЩНА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ СТРИЙСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43778036.0,"82660, Львівська обл., Сколівський р-н, селище міського типу Славське, вул.Шептицького, будинок 3",2498.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,3939.0,2020-12-31 00:00:00,,ТУРКІВСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ САМБІРСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43794330.0,"82500, Львівська обл., Турківський р-н, місто Турка, вул.Січових Стрільців, будинок 62",3939.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,19098.0,2020-12-31 00:00:00,,ДРОГОБИЦЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ДРОГОБИЦЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43785326.0,"82100, Львівська обл., місто Дрогобич, пл.Ринок, будинок 1",19098.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
радіо,2020-07-01,2800.0,2020-12-31 00:00:00,,"КП ""Редакція міського радіомовлення""",30385335.0,"82200, Львівська обл., місто Трускавець, ВУЛИЦЯ БОРИСЛАВСЬКА, будинок 1",2800.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
поповнення виборчого фонду,2020-09-28,8349110.0,2020-12-31 00:00:00,,Накопичувальний рахунок ВФ ЛОО ПОЛІТИЧНОЇ ПАРТІЇ ОБ'ЄДНАННЯ САМОПОМІЧ,38582948.0,"79012, Львівська обл., місто Львів, Франківський район, ВУЛИЦЯ САХАРОВА, будинок 42",8349110.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
оренда приміщення,2016-01-04,69050.0,2020-12-31 00:00:00,48708,ПрАТ `Промбудприлад`,31588943.0,"79012, Львівська обл., місто Львів, ВУЛИЦЯ САХАРОВА, будинок 42",0.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,8564.0,2020-12-31 00:00:00,,ІВАНО-ФРАНКІВСЬКА СЕЛИЩНА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ЯВОРІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43804170.0,"81070, Львівська обл., Яворівський р-н, селище міського типу Івано-Франкове, вул.Львівська, будинок 11",8564.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,4167.0,2020-12-31 00:00:00,,РАВА-РУСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43798754.0,"80316, Львівська обл., Жовківський р-н, місто Рава-Руська, вул.Ярослава Мудрого, будинок 8",4167.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,3487.0,2020-12-31 00:00:00,,СКОЛІВСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ СТРИЙСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43790032.0,"82600, Львівська обл., Сколівський р-н, місто Сколе, майдан Незалежності, будинок 1",3487.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,3712.0,2020-12-31 00:00:00,,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД) ЗИМНОВОДІВСЬКА СІЛЬСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ЛЬВІВС",43786754.0,"81110, Львівська обл., Пустомитівський р-н, село Зимна Вода, вул.Шухевича, будинок 83",3712.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,8365.0,2020-12-31 00:00:00,,ЗОЛОЧІВСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ЗОЛОЧІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43763962.0,"80700, Львівська обл., Золочівський р-н, місто Золочів, вул.Шашкевича М., будинок 22",8365.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,5556.0,2020-12-31 00:00:00,,Новороздільська міська територіальна виборча комісія Стрийського району Львівської області,43757976.0,"Україна, 81652, Львівська обл., місто Новий Розділ(пн), вул.Грушевського М., будинок 24",5556.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,8815.0,2020-12-31 00:00:00,,СОКАЛЬСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ЧЕРВОНОГРАДСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43755768.0,"80001, Львівська обл., Сокальський р-н, місто Сокаль, вул.Шептицького, будинок 26",8815.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
реклама на конструкціях,2020-07-01,36000.0,2020-12-31 00:00:00,,"ПП Фірма ""АВЛ-Дизайн""",31730750.0,"79060, Львівська обл., місто Львів, Франківський район, ВУЛИЦЯ ПУЛЮЯ, будинок 11, квартира 37",36000.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,195504.0,2020-12-31 00:00:00,,Львівська районна територіальна виборча комісія,43755731.0,"79008, Львівська обл., місто Львів, вул.Винниченка В., будинок 18",195504.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
радіо,2020-07-01,30564.0,2020-12-31 00:00:00,,"ТОВ Радіоінформаційний центр ""Незалежність""",20851970.0,"79005, Львівська обл., місто Львів, Галицький район, ВУЛ.КНЯЗЯ РОМАНА, будинок 12",30564.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
адмін. Збір,2020-07-01,3780.0,2020-12-31 00:00:00,,УКуГалиць.р.м.Льв./Галицький,38007573.0,"79005, Львівська обл., місто Львів, Галицький район, ВУЛИЦЯ ДЖ.ДУДАЄВА, будинок 19",3780.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,6312.0,2020-12-31 00:00:00,,САМБІРСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ САМБІРСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43761766.0,"81400, Львівська обл., місто Самбір, вул.Коперніка, будинок 6",6312.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,3227.0,2020-12-31 00:00:00,,ЖИДАЧІВСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ СТРИЙСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43759139.0,"81700, Львівська обл., Жидачівський р-н, місто Жидачів, вул.Шашкевича М., будинок 2",3227.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,3644.0,2020-12-31 00:00:00,,СТАРОСАМБІРСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ САМБІРСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43758926.0,"82000, Львівська обл., Старосамбірський р-н, місто Старий Самбір, вул.Галицького Л., будинок 40",3644.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,13003.0,2020-12-31 00:00:00,,НОВОЯВОРІВСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ЯВОРІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43766146.0,"81053, Львівська обл., Яворівський р-н, місто Новояворівськ, вул.Шевченка Т., будинок 1",13003.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
радіо,2020-07-01,100800.0,2020-12-31 00:00:00,,"ТОВ ""Львів ФМ""",39459792.0,"79015, Львівська обл., місто Львів, Галицький район, ВУЛИЦЯ ГЕРОЇВ УПА, будинок 73, корпус 10, офіс 133",100800.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,3210.0,2020-12-31 00:00:00,,БІБРСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43758308.0,"81220, Львівська обл., Перемишлянський р-н, місто Бібрка, вул.Тарнавського, будинок 22",3210.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
реклама на конструкціях,2020-07-01,128040.0,2020-12-31 00:00:00,,"ТОВ ""Медіа Міст""",41013351.0,"79053, Львівська обл., місто Львів, Франківський район, ВУЛИЦЯ ВОЛОДИМИРА ВЕЛИКОГО, будинок 16, офіс 608",128040.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,2295.0,2020-12-31 00:00:00,,МОРШИНСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ СТРИЙСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43763323.0,"82482, Львівська обл., місто Моршин(пн), вул.Привокзальна, будинок 61",2295.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
канцтовари,2020-07-01,4339.57,2020-12-31 00:00:00,,"ТОВ ""РОМУС-ПОЛІГРАФ""",25551379.0,"Україна, 79052, Львівська обл., місто Львів, ВУЛ. ШИРОКА, будинок 81",4339.57,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,3070.0,2020-12-31 00:00:00,,МЕДЕНИЦЬКА СЕЛИЩНА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ДРОГОБИЦЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43796317.0,"Україна, 82160, Львівська обл., Дрогобицький р-н, селище міського типу Меденичі, вул.Незалежності, будинок 52",3070.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,5808.0,2020-12-31 00:00:00,,РАДЕХІВСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ЧЕРВОНОГРАДСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43757765.0,"80200, Львівська обл., Радехівський р-н, місто Радехів, вул.Франка І., будинок 2",5808.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,54117.0,2020-12-31 00:00:00,,СТРИЙСЬКА РАЙОННА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ЛЬВІВСЬКОЇ ОБЛАСТІ,43768295.0,"82400, Львівська обл., місто Стрий, вул.Бандери С., будинок 28",54117.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,3126.0,2020-12-31 00:00:00,,БІСКОВИЦЬКА СІЛЬСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ САМБІРСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43790603.0,"81454, Львівська обл., Самбірський р-н, село Бісковичі, вул.Мудрого Я., будинок 3",3126.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
реклама на конструкціях,2020-07-01,2007324.0,2020-12-31 00:00:00,,"ТОВ ""Октагон-Аутдор""",34729203.0,"Україна, 03150, місто Київ, ВУЛИЦЯ ВЕЛИКА ВАСИЛЬКІВСЬКА, будинок 72, ПОВЕРХ № 10",2007324.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,30334.0,2020-12-31 00:00:00,,ЯВОРІВСЬКА РАЙОННА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ЛЬВІВСЬКОЇ ОБЛАСТІ,43766811.0,"81000, Львівська обл., Яворівський р-н, місто Яворів, вул.Франка Івана, будинок 8",30334.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
реклама на конструкціях,2020-07-01,1035896.0,2020-12-31 00:00:00,,"ТОВ ""АЙДІМЕДІА""",38770187.0,"Україна, 65114, Одеська обл., місто Одеса, ПРОСПЕКТ НЕБЕСНОЇ СОТНІ, будинок 47/3",1035896.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,3517.0,2020-12-31 00:00:00,,ДАВИДІВСЬКА СІЛЬСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43792506.0,"81151, Львівська обл., Пустомитівський р-н, село Давидів, вул.Незалежності, будинок 1 А",3517.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
реклама на конструкціях,2020-07-01,928980.0,2020-12-31 00:00:00,32300,ТОВ БІГ МЕДІА,25281224.0,"04070, місто Київ, ВУЛИЦЯ ІГОРІВСЬКА, будинок 14-А",896680.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,14002.0,2020-12-31 00:00:00,,ЯВОРІВСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ЯВОРІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43766565.0,"81000, Львівська обл., Яворівський р-н, місто Яворів, пл.Ринок, будинок 7",14002.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
реклама на конструкціях,2020-07-01,474096.0,2020-12-31 00:00:00,,"ТОВ ""ЛА ВІТА УКРАЇНА""",42150768.0,"03134, м.Київ, Святошинський район, ВУЛИЦЯ ПШЕНИЧНА, будинок 9",474096.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
намети,2020-07-01,25920.0,2020-12-31 00:00:00,,"ТОВ ""ПРОМОДРУК""",38611355.0,"	02081, місто Київ, ВУЛИЦЯ КАНАЛЬНА, будинок 2, корпус 10",25920.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,5446.0,2020-12-31 00:00:00,,ТРУСКАВЕЦЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ДРОГОБИЦЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43757063.0,"82200, Львівська обл., місто Трускавець, вул.Бориславська, будинок 2",5446.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,5683.0,2020-12-31 00:00:00,,МИКОЛАЇВСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ СТРИЙСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43779574.0,"Україна, 81600, Львівська обл., Миколаївський р-н, місто Миколаїв, вул.Шептицького, будинок 82",5683.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,421000.0,2020-12-31 00:00:00,,Львівська обласна територіальна виборча комісія,43774073.0,"79008, Львівська обл., місто Львів, вул.Винниченка В., будинок 18",421000.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,16063.0,2020-12-31 00:00:00,,СТРИЙСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ СТРИЙСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43758952.0,"82400, Львівська обл., місто Стрий, вул.Шевченка Т., будинок 71",16063.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
реклама на конструкціях,2020-07-01,304272.0,2020-12-31 00:00:00,,"ТОВ ДП ""Контракти Медіа""",31291492.0,"79035, Львівська обл., місто Львів, Личаківський район, ВУЛИЦЯ ЗЕЛЕНА, будинок 109/ 306",304272.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,37391.0,2020-12-31 00:00:00,,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД) ДРОГОБИЦЬКА РАЙОННА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ЛЬВІВСЬКОЇ",43783664.0,"82100, Львівська обл., місто Дрогобич, вул.22 Січня, будинок 37",37391.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
послуги банку,2020-07-01,898.0,2020-12-31 00:00:00,,"""АБ ""УКРГАЗБАНК""",23697280.0,"Україна, 03087, місто Київ, ВУЛИЦЯ ЄРЕВАНСЬКА, будинок 1",898.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,7308.0,2020-12-31 00:00:00,,Городоцька міська територіальна виборча комісія Львівського району Львівської області,43761635.0,"Україна, 81500, Львівська обл., Городоцький р-н, місто Городок, майдан Гайдамаків, будинок 6",7308.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,3115.0,2020-12-31 00:00:00,,ДОБРОМИЛЬСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ САМБІРСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43758051.0,"Україна, 82042, Львівська обл., Старосамбірський р-н, місто Добромиль, пл.Ринок, будинок 1",3115.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
грошова застава,2020-07-01,5688.0,2020-12-31 00:00:00,,ЖОВКІВСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,43756824.0,"80300, Львівська обл., Жовківський р-н, місто Жовква, вул.Львівська, будинок 40",5688.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
листівки,2020-07-01,30000.0,2020-12-31 00:00:00,,"ТОВ ""Нео Друк""",40547038.0,"79035, Львівська обл., місто Львів, Сихівський район, ВУЛИЦЯ ЗЕЛЕНА, будинок 145",30000.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
реклама на конструкціях,2020-07-01,216960.0,2020-12-31 00:00:00,,"ТОВ ""БРОК""",20833498.0,"79053, Львівська обл., місто Львів, Франківський район, ВУЛИЦЯ В.ВЕЛИКОГО, будинок 97, квартира 88",216960.0,юридична особа,Об’єднання «САМОПОМІЧ»,Львівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,38582948,Львівська область,4,2020
